,index,Candidato,Lista,Covelo,Padergnone,Ranzo,Terlago,Vezzano,Totale
18,2,BRESSAN C.,PROGETTO VALLELAGHI,60.0,4.0,4.0,122.0,14.0,204.0
19,4,BRESSAN T.,PROGETTO VALLELAGHI,6.0,6.0,1.0,1.0,36.0,50.0
20,7,DALDOSS A.,PROGETTO VALLELAGHI,28.0,3.0,71.0,3.0,27.0,132.0
21,9,DECARLI P.,PROGETTO VALLELAGHI,171.0,19.0,0.0,83.0,18.0,291.0
22,11,FATIS C.,PROGETTO VALLELAGHI,16.0,1.0,2.0,38.0,4.0,61.0
23,14,FRIZZERA N.,PROGETTO VALLELAGHI,28.0,6.0,6.0,102.0,27.0,169.0
24,15,GENTILI R.,PROGETTO VALLELAGHI,61.0,11.0,0.0,22.0,4.0,98.0
25,16,GIOVANNINI A.,PROGETTO VALLELAGHI,1.0,39.0,0.0,1.0,9.0,50.0
26,18,MARGONI A.,PROGETTO VALLELAGHI,47.0,1.0,0.0,4.0,7.0,59.0
27,19,MARGONI G.,PROGETTO VALLELAGHI,2.0,3.0,4.0,4.0,75.0,88.0
28,21,PISU N.,PROGETTO VALLELAGHI,3.0,15.0,0.0,2.0,0.0,20.0
29,23,POVOLI S.,PROGETTO VALLELAGHI,29.0,21.0,5.0,8.0,122.0,185.0
30,24,RIGOTTI I.,PROGETTO VALLELAGHI,14.0,138.0,3.0,5.0,15.0,175.0
31,26,SARTORI N.,PROGETTO VALLELAGHI,2.0,14.0,43.0,2.0,24.0,85.0
32,29,SOMMADOSSI L.,PROGETTO VALLELAGHI,9.0,23.0,20.0,3.0,82.0,137.0
33,31,SORIO M.,PROGETTO VALLELAGHI,34.0,0.0,0.0,12.0,3.0,49.0
34,32,SPALLINO S.,PROGETTO VALLELAGHI,16.0,24.0,10.0,21.0,89.0,160.0
35,35,ZUCCATTI M.,PROGETTO VALLELAGHI,47.0,16.0,1.0,7.0,60.0,131.0
